order_id,customer_id,product_id,quantity,price,order_date,store_id
1257,10,21,4,83.76,2023-02-09,16
5720,2,36,6,35.57,2022-09-20,10
4897,9,49,2,85.9,2022-10-05,16
7446,10,29,3,36.79,2022-07-25,3
9237,10,21,4,97.81,2022-08-17,17
8344,4,12,8,75.35,2022-09-30,9
3317,3,32,1,63.8,2023-06-01,9
7894,1,49,8,89.78,2023-01-14,20
8282,6,25,2,34.14,2023-03-14,3
9720,1,32,3,18.8,2022-12-27,16
9881,7,41,7,81.27,2023-02-25,18
9003,2,26,2,68.11,2022-06-28,9
4847,9,33,3,72.79,2022-08-30,4
8947,7,7,2,11.97,2022-12-30,5
6906,2,37,7,47.08,2023-04-09,3
1940,9,13,10,76.01,2023-01-29,17
5870,5,41,8,29.89,2023-01-24,20
3898,3,26,3,34.53,2022-07-09,7
1357,6,18,10,44.32,2023-03-16,18
7427,4,1,8,29.36,2022-12-25,16
1942,7,20,5,85.26,2022-08-22,1
7968,2,43,4,96.65,2023-04-22,14
8884,1,5,7,61.65,2022-09-19,1
7191,10,24,9,35.04,2023-05-22,20
4811,4,1,1,38.15,2023-01-25,20
6105,5,47,2,44.45,2023-03-07,19
7430,3,31,5,39.05,2023-01-07,11
8137,7,21,5,46.17,2023-03-20,10
5425,9,17,8,86.03,2022-10-29,1
5862,5,14,2,29.35,2022-12-12,15
2975,9,39,3,57.33,2022-09-04,7
9204,4,39,2,82.44,2023-04-21,2
8426,5,35,6,33.38,2023-05-18,16
7587,8,34,2,28.72,2022-10-10,15
2422,6,9,6,15.26,2022-08-04,6
4245,1,23,7,66.64,2023-03-16,5
7154,10,15,6,85.65,2023-05-11,17
5332,8,20,1,31.5,2023-05-31,2
6104,10,49,4,23.96,2022-11-10,11
1804,7,40,9,80.34,2022-10-08,6
8879,5,23,3,14.41,2022-11-13,4
3898,4,7,6,14.74,2022-06-03,9
5405,10,20,5,53.29,2023-03-22,10
8221,1,2,4,83.49,2023-01-15,2
7538,6,18,7,34.05,2023-02-18,1
9219,7,45,4,13.08,2022-09-23,2
8886,6,48,9,43.14,2023-02-19,1
1338,6,49,5,39.71,2022-12-26,14
2626,6,12,9,51.36,2023-03-11,1
9387,2,46,4,39.21,2022-11-17,5
7123,2,12,4,72.37,2022-12-18,10
3695,2,50,3,32.78,2022-11-29,18
1495,4,48,9,43.19,2022-09-21,4
7928,6,47,7,19.11,2022-06-14,5
4234,10,14,10,71.44,2023-04-01,19
7139,10,12,3,18.0,2022-08-16,7
3495,9,36,10,48.31,2022-12-26,17
7346,6,34,1,56.78,2023-01-26,6
3214,5,34,8,17.92,2023-04-03,5
5912,4,12,6,26.95,2022-10-21,14
6321,4,36,8,74.19,2022-08-16,13
2657,4,48,9,60.19,2022-08-17,6
5334,9,34,1,97.86,2023-01-26,11
5220,1,48,7,49.9,2022-11-19,7
9525,7,31,4,52.6,2022-08-28,18
3700,9,39,2,37.33,2023-01-13,14
5952,9,36,4,11.77,2022-12-01,1
2794,6,8,6,36.03,2023-02-27,16
1439,6,17,5,26.48,2022-07-19,3
9486,6,14,9,67.52,2022-09-05,17
8386,9,10,10,16.27,2023-04-08,20
3111,4,24,6,84.74,2023-05-28,20
3692,1,6,3,21.88,2022-10-16,16
5215,5,10,5,64.85,2022-06-20,15
3602,5,26,10,50.25,2022-12-08,18
1012,9,6,6,29.16,2022-07-28,3
5518,6,21,6,84.06,2022-12-18,2
2973,3,45,1,51.48,2022-10-06,11
2859,3,36,7,98.95,2023-02-20,9
3959,3,7,5,94.52,2023-04-25,12
2879,4,15,3,60.53,2023-05-12,12
2991,6,25,7,71.18,2023-01-22,17
9992,7,42,2,95.94,2022-09-16,9
8063,3,19,5,69.0,2022-06-30,13
6576,1,12,10,41.01,2023-04-26,5
3738,5,21,3,44.33,2023-02-21,11
3439,10,27,7,15.31,2022-08-12,14
3073,2,28,7,33.16,2022-08-21,20
2718,10,13,6,49.55,2023-02-06,12
6518,5,10,3,84.88,2022-11-21,11
7341,10,28,8,88.8,2022-06-17,19
6003,10,43,5,49.27,2022-07-12,8
9779,2,12,7,63.21,2023-05-08,19
2669,1,38,4,32.73,2023-03-06,13
8378,7,24,8,72.65,2022-12-07,16
5738,10,46,4,50.34,2022-12-27,8
5857,8,4,5,53.81,2023-03-13,3
4495,3,27,10,13.88,2023-05-29,8
9363,4,17,9,46.37,2022-08-04,7
9728,7,45,1,14.47,2022-08-03,17
6249,3,17,5,24.56,2022-09-01,3
3525,9,30,1,72.61,2023-05-12,10
2867,2,22,4,76.39,2023-02-28,6
1855,3,13,4,22.39,2022-09-07,14
5062,10,35,7,58.42,2022-06-17,7
3654,8,40,5,93.4,2023-04-16,19
6837,3,15,4,80.06,2022-09-12,15
1790,5,30,3,71.28,2022-09-28,9
1976,1,27,3,86.04,2023-04-14,12
2857,8,46,4,19.93,2022-10-27,16
4705,7,23,3,21.73,2023-04-04,13
9307,2,3,10,81.04,2022-12-01,18
7972,7,30,10,83.7,2022-07-24,9
1492,3,1,2,92.75,2022-11-29,19
6858,6,32,5,73.85,2022-10-10,17
1127,7,12,7,25.34,2023-04-25,8
6320,10,43,8,44.96,2022-06-10,7
9528,4,16,7,25.12,2022-12-12,9
3139,5,1,6,37.99,2023-03-27,9
8118,2,36,8,98.15,2022-12-28,19
6314,7,34,10,81.36,2022-10-11,16
7004,5,1,8,12.96,2022-08-29,16
1651,8,18,7,95.79,2023-01-30,16
1493,10,16,4,29.64,2022-06-26,4
8805,1,45,8,61.76,2022-09-12,10
5313,7,11,6,38.73,2023-04-17,6
8012,4,26,5,31.83,2022-06-22,15
4273,4,35,10,69.5,2022-12-18,18
4970,10,14,10,75.2,2023-01-16,10
7118,5,25,1,76.14,2022-12-06,4
5307,5,3,7,51.98,2022-09-01,7
8310,5,37,10,79.35,2023-02-07,14
6643,6,34,5,16.68,2023-02-22,3
3405,2,30,5,87.77,2022-09-05,15
5967,2,42,3,73.77,2022-12-18,16
7567,10,35,8,79.39,2022-08-11,6
4272,6,49,10,39.29,2023-04-13,15
3130,3,43,7,85.9,2023-04-21,20
2188,3,3,6,87.32,2023-04-22,16
5147,8,10,10,67.05,2022-07-08,2
1285,7,27,10,76.87,2022-06-08,14
5778,4,40,3,22.61,2023-01-01,6
5894,6,21,7,89.17,2022-08-09,11
9721,9,27,7,59.21,2022-07-28,14
3888,2,8,3,11.49,2022-06-13,2
1084,10,17,6,32.93,2022-06-04,7
5389,6,8,4,92.49,2022-08-11,8
1010,2,1,6,31.79,2023-01-18,3
2734,2,17,8,77.01,2022-09-12,20
9586,2,26,3,66.24,2022-12-30,20
9726,2,13,7,22.88,2023-04-29,2
5463,3,10,1,33.89,2022-10-27,3
9365,2,40,2,72.42,2023-05-12,8
